C0002395,ALZHEIMER DISEASE (Alzheimer's Disease),Disease or Syndrome,C0234387,Cerebral Disease (Cerebral disorder),Disease or Syndrome,  Alzheimer disease is a primary degenerative cerebral disease of unknown etiology with characteristic neuropathological and neurochemical features.
C0439227,HOURS (Hour) [Temporal Concept],Temporal Concept,C0815107,"Distress, Emotional (Psychological Distress)",Mental or Behavioral Dysfunction,"You are also at higher risk of insomnia if you  Have a lot of stress Are depressed or have other emotional distress, such as divorce or death of a spouse Have a lower income Work at night or have frequent major shifts in your work hours Travel long distances with time changes Have an inactive lifestyle Are African American; research shows that African Americans take longer to fall asleep, don't sleep as well, and have more sleep-related breathing problems than whites."
C0439227,HOURS (Hour) [Temporal Concept],Temporal Concept,C0344315,Depressed (Depressed mood),Mental or Behavioral Dysfunction,"You are also at higher risk of insomnia if you  Have a lot of stress Are depressed or have other emotional distress, such as divorce or death of a spouse Have a lower income Work at night or have frequent major shifts in your work hours Travel long distances with time changes Have an inactive lifestyle Are African American; research shows that African Americans take longer to fall asleep, don't sleep as well, and have more sleep-related breathing problems than whites."
C0439227,HOURS (Hour) [Temporal Concept],Temporal Concept,C1442103,Time Change (Time Difference) [Temporal Concept],Temporal Concept,"You are also at higher risk of insomnia if you  Have a lot of stress Are depressed or have other emotional distress, such as divorce or death of a spouse Have a lower income Work at night or have frequent major shifts in your work hours Travel long distances with time changes Have an inactive lifestyle Are African American; research shows that African Americans take longer to fall asleep, don't sleep as well, and have more sleep-related breathing problems than whites."
C0815107,"Distress, Emotional (Psychological Distress)",Mental or Behavioral Dysfunction,C0344315,Depressed (Depressed mood),Mental or Behavioral Dysfunction,"You are also at higher risk of insomnia if you  Have a lot of stress Are depressed or have other emotional distress, such as divorce or death of a spouse Have a lower income Work at night or have frequent major shifts in your work hours Travel long distances with time changes Have an inactive lifestyle Are African American; research shows that African Americans take longer to fall asleep, don't sleep as well, and have more sleep-related breathing problems than whites."
C0815107,"Distress, Emotional (Psychological Distress)",Mental or Behavioral Dysfunction,C1442103,Time Change (Time Difference) [Temporal Concept],Temporal Concept,"You are also at higher risk of insomnia if you  Have a lot of stress Are depressed or have other emotional distress, such as divorce or death of a spouse Have a lower income Work at night or have frequent major shifts in your work hours Travel long distances with time changes Have an inactive lifestyle Are African American; research shows that African Americans take longer to fall asleep, don't sleep as well, and have more sleep-related breathing problems than whites."
C0344315,Depressed (Depressed mood),Mental or Behavioral Dysfunction,C1442103,Time Change (Time Difference) [Temporal Concept],Temporal Concept,"You are also at higher risk of insomnia if you  Have a lot of stress Are depressed or have other emotional distress, such as divorce or death of a spouse Have a lower income Work at night or have frequent major shifts in your work hours Travel long distances with time changes Have an inactive lifestyle Are African American; research shows that African Americans take longer to fall asleep, don't sleep as well, and have more sleep-related breathing problems than whites."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0917801,INSOMNIA (Sleeplessness),Sign or Symptom,What are the symptoms of insomnia?
C0917801,INSOMNIA (Sleeplessness),Sign or Symptom,C0240526,Night (Night time) [Temporal Concept],Temporal Concept,Symptoms of insomnia include:  Lying awake for a long time before you fall asleep Sleeping for only short periods Being awake for much of the night Feeling as if you haven't slept at all Waking up too early  What other problems can insomnia cause?
C0917801,INSOMNIA (Sleeplessness),Sign or Symptom,C0040223,TIME (Time) [Temporal Concept],Temporal Concept,Symptoms of insomnia include:  Lying awake for a long time before you fall asleep Sleeping for only short periods Being awake for much of the night Feeling as if you haven't slept at all Waking up too early  What other problems can insomnia cause?
C0917801,INSOMNIA (Sleeplessness),Sign or Symptom,C0238715,Fall (Autumn) [Temporal Concept],Temporal Concept,Symptoms of insomnia include:  Lying awake for a long time before you fall asleep Sleeping for only short periods Being awake for much of the night Feeling as if you haven't slept at all Waking up too early  What other problems can insomnia cause?
C0917801,INSOMNIA (Sleeplessness),Sign or Symptom,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,Symptoms of insomnia include:  Lying awake for a long time before you fall asleep Sleeping for only short periods Being awake for much of the night Feeling as if you haven't slept at all Waking up too early  What other problems can insomnia cause?
C0917801,INSOMNIA (Sleeplessness),Sign or Symptom,C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,Symptoms of insomnia include:  Lying awake for a long time before you fall asleep Sleeping for only short periods Being awake for much of the night Feeling as if you haven't slept at all Waking up too early  What other problems can insomnia cause?
C0240526,Night (Night time) [Temporal Concept],Temporal Concept,C0040223,TIME (Time) [Temporal Concept],Temporal Concept,Symptoms of insomnia include:  Lying awake for a long time before you fall asleep Sleeping for only short periods Being awake for much of the night Feeling as if you haven't slept at all Waking up too early  What other problems can insomnia cause?
C0240526,Night (Night time) [Temporal Concept],Temporal Concept,C0238715,Fall (Autumn) [Temporal Concept],Temporal Concept,Symptoms of insomnia include:  Lying awake for a long time before you fall asleep Sleeping for only short periods Being awake for much of the night Feeling as if you haven't slept at all Waking up too early  What other problems can insomnia cause?
C0240526,Night (Night time) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,Symptoms of insomnia include:  Lying awake for a long time before you fall asleep Sleeping for only short periods Being awake for much of the night Feeling as if you haven't slept at all Waking up too early  What other problems can insomnia cause?
C0240526,Night (Night time) [Temporal Concept],Temporal Concept,C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,Symptoms of insomnia include:  Lying awake for a long time before you fall asleep Sleeping for only short periods Being awake for much of the night Feeling as if you haven't slept at all Waking up too early  What other problems can insomnia cause?
C0040223,TIME (Time) [Temporal Concept],Temporal Concept,C0238715,Fall (Autumn) [Temporal Concept],Temporal Concept,Symptoms of insomnia include:  Lying awake for a long time before you fall asleep Sleeping for only short periods Being awake for much of the night Feeling as if you haven't slept at all Waking up too early  What other problems can insomnia cause?
C0040223,TIME (Time) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,Symptoms of insomnia include:  Lying awake for a long time before you fall asleep Sleeping for only short periods Being awake for much of the night Feeling as if you haven't slept at all Waking up too early  What other problems can insomnia cause?
C0040223,TIME (Time) [Temporal Concept],Temporal Concept,C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,Symptoms of insomnia include:  Lying awake for a long time before you fall asleep Sleeping for only short periods Being awake for much of the night Feeling as if you haven't slept at all Waking up too early  What other problems can insomnia cause?
C0238715,Fall (Autumn) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,Symptoms of insomnia include:  Lying awake for a long time before you fall asleep Sleeping for only short periods Being awake for much of the night Feeling as if you haven't slept at all Waking up too early  What other problems can insomnia cause?
C0238715,Fall (Autumn) [Temporal Concept],Temporal Concept,C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,Symptoms of insomnia include:  Lying awake for a long time before you fall asleep Sleeping for only short periods Being awake for much of the night Feeling as if you haven't slept at all Waking up too early  What other problems can insomnia cause?
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,Symptoms of insomnia include:  Lying awake for a long time before you fall asleep Sleeping for only short periods Being awake for much of the night Feeling as if you haven't slept at all Waking up too early  What other problems can insomnia cause?
C0917801,INSOMNIA (Sleeplessness),Sign or Symptom,C0015672,Lack of Energy (Fatigue),Sign or Symptom,Insomnia can cause daytime sleepiness and a lack of energy.
C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,C0344315,Depressed (Depressed mood),Mental or Behavioral Dysfunction,"It also can make you feel anxious, depressed, or irritable."
C0917801,INSOMNIA (Sleeplessness),Sign or Symptom,C4722276,ASK (Anaplastic Sarcoma of the Kidney),Neoplastic Process,"To diagnose insomnia, your health care provider  Takes your medical history Asks for your sleep history."
C3812381,May (Month of May) [Temporal Concept],Temporal Concept,N C0917801,INSOMNIA (Sleeplessness),Sign or Symptom,"Does a physical exam, to rule out other medical problems that might cause insomnia May recommend a sleep study."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0443303,Short-term (short-term) [Temporal Concept],Temporal Concept,"Treatments include lifestyle changes, counseling, and medicines:  Lifestyle changes, including good sleep habits, often help relieve acute (short-term) insomnia."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0917801,INSOMNIA (Sleeplessness),Sign or Symptom,"Treatments include lifestyle changes, counseling, and medicines:  Lifestyle changes, including good sleep habits, often help relieve acute (short-term) insomnia."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0205178,ACUTE (acute) [Temporal Concept],Temporal Concept,"Treatments include lifestyle changes, counseling, and medicines:  Lifestyle changes, including good sleep habits, often help relieve acute (short-term) insomnia."
C0443303,Short-term (short-term) [Temporal Concept],Temporal Concept,C0917801,INSOMNIA (Sleeplessness),Sign or Symptom,"Treatments include lifestyle changes, counseling, and medicines:  Lifestyle changes, including good sleep habits, often help relieve acute (short-term) insomnia."
C0443303,Short-term (short-term) [Temporal Concept],Temporal Concept,C0205178,ACUTE (acute) [Temporal Concept],Temporal Concept,"Treatments include lifestyle changes, counseling, and medicines:  Lifestyle changes, including good sleep habits, often help relieve acute (short-term) insomnia."
C0917801,INSOMNIA (Sleeplessness),Sign or Symptom,C0205178,ACUTE (acute) [Temporal Concept],Temporal Concept,"Treatments include lifestyle changes, counseling, and medicines:  Lifestyle changes, including good sleep habits, often help relieve acute (short-term) insomnia."
C0917801,INSOMNIA (Sleeplessness),Sign or Symptom,C0205191,CHRONIC (chronic) [Temporal Concept],Temporal Concept,"A type of counseling called cognitive-behavioral therapy (CBT) can help relieve the anxiety linked to chronic (ongoing) insomnia Several medicines also can help relieve your insomnia and allow you to re-establish a regular sleep schedule  If your insomnia is the symptom or side effect of another problem, it's important to treat that problem (if possible)."
C0917801,INSOMNIA (Sleeplessness),Sign or Symptom,C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,"A type of counseling called cognitive-behavioral therapy (CBT) can help relieve the anxiety linked to chronic (ongoing) insomnia Several medicines also can help relieve your insomnia and allow you to re-establish a regular sleep schedule  If your insomnia is the symptom or side effect of another problem, it's important to treat that problem (if possible)."
C0917801,INSOMNIA (Sleeplessness),Sign or Symptom,C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,"A type of counseling called cognitive-behavioral therapy (CBT) can help relieve the anxiety linked to chronic (ongoing) insomnia Several medicines also can help relieve your insomnia and allow you to re-establish a regular sleep schedule  If your insomnia is the symptom or side effect of another problem, it's important to treat that problem (if possible)."
C0917801,INSOMNIA (Sleeplessness),Sign or Symptom,C1457887,Symptom (Symptoms),Sign or Symptom,"A type of counseling called cognitive-behavioral therapy (CBT) can help relieve the anxiety linked to chronic (ongoing) insomnia Several medicines also can help relieve your insomnia and allow you to re-establish a regular sleep schedule  If your insomnia is the symptom or side effect of another problem, it's important to treat that problem (if possible)."
C0205191,CHRONIC (chronic) [Temporal Concept],Temporal Concept,C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,"A type of counseling called cognitive-behavioral therapy (CBT) can help relieve the anxiety linked to chronic (ongoing) insomnia Several medicines also can help relieve your insomnia and allow you to re-establish a regular sleep schedule  If your insomnia is the symptom or side effect of another problem, it's important to treat that problem (if possible)."
C0205191,CHRONIC (chronic) [Temporal Concept],Temporal Concept,C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,"A type of counseling called cognitive-behavioral therapy (CBT) can help relieve the anxiety linked to chronic (ongoing) insomnia Several medicines also can help relieve your insomnia and allow you to re-establish a regular sleep schedule  If your insomnia is the symptom or side effect of another problem, it's important to treat that problem (if possible)."
C0205191,CHRONIC (chronic) [Temporal Concept],Temporal Concept,C1457887,Symptom (Symptoms),Sign or Symptom,"A type of counseling called cognitive-behavioral therapy (CBT) can help relieve the anxiety linked to chronic (ongoing) insomnia Several medicines also can help relieve your insomnia and allow you to re-establish a regular sleep schedule  If your insomnia is the symptom or side effect of another problem, it's important to treat that problem (if possible)."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,"A type of counseling called cognitive-behavioral therapy (CBT) can help relieve the anxiety linked to chronic (ongoing) insomnia Several medicines also can help relieve your insomnia and allow you to re-establish a regular sleep schedule  If your insomnia is the symptom or side effect of another problem, it's important to treat that problem (if possible)."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C1457887,Symptom (Symptoms),Sign or Symptom,"A type of counseling called cognitive-behavioral therapy (CBT) can help relieve the anxiety linked to chronic (ongoing) insomnia Several medicines also can help relieve your insomnia and allow you to re-establish a regular sleep schedule  If your insomnia is the symptom or side effect of another problem, it's important to treat that problem (if possible)."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C1457887,Symptom (Symptoms),Sign or Symptom,"A type of counseling called cognitive-behavioral therapy (CBT) can help relieve the anxiety linked to chronic (ongoing) insomnia Several medicines also can help relieve your insomnia and allow you to re-establish a regular sleep schedule  If your insomnia is the symptom or side effect of another problem, it's important to treat that problem (if possible)."
C0393760,Difficulty falling asleep (Initial insomnia),Mental or Behavioral Dysfunction,C0851578,SLEEP DISORDER (Sleep Disorders),Mental or Behavioral Dysfunction,"NIH: National Heart, Lung, and Blood InstituteDifficulty in going to sleep or getting enough sleep.A sleep disorder characterized by difficulty in falling asleep and/or remaining asleep.A disorder characterized by difficulty in falling asleep and/or remaining asleep.Difficulty in falling asleep and/or remaining asleep.Almost everyone has had a headache."
C0393760,Difficulty falling asleep (Initial insomnia),Mental or Behavioral Dysfunction,C0012634,Disorder (Disease),Disease or Syndrome,"NIH: National Heart, Lung, and Blood InstituteDifficulty in going to sleep or getting enough sleep.A sleep disorder characterized by difficulty in falling asleep and/or remaining asleep.A disorder characterized by difficulty in falling asleep and/or remaining asleep.Difficulty in falling asleep and/or remaining asleep.Almost everyone has had a headache."
C0393760,Difficulty falling asleep (Initial insomnia),Mental or Behavioral Dysfunction,C0018681,HEADACHE (Headache),Sign or Symptom,"NIH: National Heart, Lung, and Blood InstituteDifficulty in going to sleep or getting enough sleep.A sleep disorder characterized by difficulty in falling asleep and/or remaining asleep.A disorder characterized by difficulty in falling asleep and/or remaining asleep.Difficulty in falling asleep and/or remaining asleep.Almost everyone has had a headache."
C0851578,SLEEP DISORDER (Sleep Disorders),Mental or Behavioral Dysfunction,C0012634,Disorder (Disease),Disease or Syndrome,"NIH: National Heart, Lung, and Blood InstituteDifficulty in going to sleep or getting enough sleep.A sleep disorder characterized by difficulty in falling asleep and/or remaining asleep.A disorder characterized by difficulty in falling asleep and/or remaining asleep.Difficulty in falling asleep and/or remaining asleep.Almost everyone has had a headache."
C0851578,SLEEP DISORDER (Sleep Disorders),Mental or Behavioral Dysfunction,C0018681,HEADACHE (Headache),Sign or Symptom,"NIH: National Heart, Lung, and Blood InstituteDifficulty in going to sleep or getting enough sleep.A sleep disorder characterized by difficulty in falling asleep and/or remaining asleep.A disorder characterized by difficulty in falling asleep and/or remaining asleep.Difficulty in falling asleep and/or remaining asleep.Almost everyone has had a headache."
C0012634,Disorder (Disease),Disease or Syndrome,C0018681,HEADACHE (Headache),Sign or Symptom,"NIH: National Heart, Lung, and Blood InstituteDifficulty in going to sleep or getting enough sleep.A sleep disorder characterized by difficulty in falling asleep and/or remaining asleep.A disorder characterized by difficulty in falling asleep and/or remaining asleep.Difficulty in falling asleep and/or remaining asleep.Almost everyone has had a headache."
C0030193,PAIN (Pain),Sign or Symptom,C0018681,HEADACHE (Headache),Sign or Symptom,Headache is the most common form of pain.
C0033893,TENSION HEADACHE (Tension Headache),Disease or Syndrome,C0018681,HEADACHE (Headache),Sign or Symptom,The most common type of headache is a tension headache.
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"They are often related to stress, depression or anxiety."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"They are often related to stress, depression or anxiety."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"They are often related to stress, depression or anxiety."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,"They are often related to stress, depression or anxiety."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,"They are often related to stress, depression or anxiety."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"They are often related to stress, depression or anxiety."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"They are often related to stress, depression or anxiety."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,"They are often related to stress, depression or anxiety."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,"They are often related to stress, depression or anxiety."
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"They are often related to stress, depression or anxiety."
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,"They are often related to stress, depression or anxiety."
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,"They are often related to stress, depression or anxiety."
C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,"They are often related to stress, depression or anxiety."
C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,"They are often related to stress, depression or anxiety."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,"They are often related to stress, depression or anxiety."
C4553624,Meals (With meals) [Temporal Concept],Temporal Concept,C0033893,Tension Headaches (Tension Headache),Disease or Syndrome,"You are more likely to get tension headaches if you work too much, don't get enough sleep, miss meals, or use alcohol."
C0810269,Other headache (other headache),Disease or Syndrome,C0149931,MIGRAINES (Migraine Disorders),Disease or Syndrome,"Other common types of headaches include migraines, cluster headaches, and sinus headaches."
C0810269,Other headache (other headache),Disease or Syndrome,C0009088,CLUSTER HEADACHES (Cluster Headache),Disease or Syndrome,"Other common types of headaches include migraines, cluster headaches, and sinus headaches."
C0149931,MIGRAINES (Migraine Disorders),Disease or Syndrome,C0009088,CLUSTER HEADACHES (Cluster Headache),Disease or Syndrome,"Other common types of headaches include migraines, cluster headaches, and sinus headaches."
C0012634,Disorder (Disease),Disease or Syndrome,C1998882,Sometimes [Temporal Concept],Temporal Concept,But sometimes headaches warn of a more serious disorder.
C0012634,Disorder (Disease),Disease or Syndrome,C0018681,Headaches (Headache),Sign or Symptom,But sometimes headaches warn of a more serious disorder.
C1998882,Sometimes [Temporal Concept],Temporal Concept,C0018681,Headaches (Headache),Sign or Symptom,But sometimes headaches warn of a more serious disorder.
C2957106,"HEADACHE, SEVERE (headache severe)",Sign or Symptom,C0406636,LET (Lupus erythematosus tumidus),Disease or Syndrome,"Let your health care provider know if you have sudden, severe headaches."
C0151315,Stiff neck (Neck stiffness),Sign or Symptom,C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,"Get medical help right away if you have a headache after a blow to your head, or if you have a headache along with a stiff neck, fever, confusion, loss of consciousness, or pain in the eye or ear."
C0151315,Stiff neck (Neck stiffness),Sign or Symptom,C0018681,HEADACHE (Headache),Sign or Symptom,"Get medical help right away if you have a headache after a blow to your head, or if you have a headache along with a stiff neck, fever, confusion, loss of consciousness, or pain in the eye or ear."
C0151315,Stiff neck (Neck stiffness),Sign or Symptom,C0015967,FEVER (Fever),Sign or Symptom,"Get medical help right away if you have a headache after a blow to your head, or if you have a headache along with a stiff neck, fever, confusion, loss of consciousness, or pain in the eye or ear."
C0151315,Stiff neck (Neck stiffness),Sign or Symptom,C0151827,Pain in eye (Eye pain),Sign or Symptom,"Get medical help right away if you have a headache after a blow to your head, or if you have a headache along with a stiff neck, fever, confusion, loss of consciousness, or pain in the eye or ear."
C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,C0018681,HEADACHE (Headache),Sign or Symptom,"Get medical help right away if you have a headache after a blow to your head, or if you have a headache along with a stiff neck, fever, confusion, loss of consciousness, or pain in the eye or ear."
C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,C0015967,FEVER (Fever),Sign or Symptom,"Get medical help right away if you have a headache after a blow to your head, or if you have a headache along with a stiff neck, fever, confusion, loss of consciousness, or pain in the eye or ear."
C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,C0151827,Pain in eye (Eye pain),Sign or Symptom,"Get medical help right away if you have a headache after a blow to your head, or if you have a headache along with a stiff neck, fever, confusion, loss of consciousness, or pain in the eye or ear."
C0018681,HEADACHE (Headache),Sign or Symptom,C0015967,FEVER (Fever),Sign or Symptom,"Get medical help right away if you have a headache after a blow to your head, or if you have a headache along with a stiff neck, fever, confusion, loss of consciousness, or pain in the eye or ear."
C0018681,HEADACHE (Headache),Sign or Symptom,C0151827,Pain in eye (Eye pain),Sign or Symptom,"Get medical help right away if you have a headache after a blow to your head, or if you have a headache along with a stiff neck, fever, confusion, loss of consciousness, or pain in the eye or ear."
C0015967,FEVER (Fever),Sign or Symptom,C0151827,Pain in eye (Eye pain),Sign or Symptom,"Get medical help right away if you have a headache after a blow to your head, or if you have a headache along with a stiff neck, fever, confusion, loss of consciousness, or pain in the eye or ear."
C0030193,PAIN (Pain),Sign or Symptom,C0027765,"Disorders, Neurological (nervous system disorder)",Disease or Syndrome,NIH: National Institute of Neurological Disorders and StrokeThe symptom of PAIN in the cranial region.
C0030193,PAIN (Pain),Sign or Symptom,C1457887,Symptom (Symptoms),Sign or Symptom,NIH: National Institute of Neurological Disorders and StrokeThe symptom of PAIN in the cranial region.
C0027765,"Disorders, Neurological (nervous system disorder)",Disease or Syndrome,C1457887,Symptom (Symptoms),Sign or Symptom,NIH: National Institute of Neurological Disorders and StrokeThe symptom of PAIN in the cranial region.
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C2364135,sensory discomfort (Discomfort),Sign or Symptom,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C0018681,Pain in head (Headache),Sign or Symptom,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C0015672,Tired (Fatigue),Sign or Symptom,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C1883708,Then [Temporal Concept],Temporal Concept,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C1948052,Now (Now (temporal qualifier)) [Temporal Concept],Temporal Concept,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C0234215,Sensory Discomfort,Sign or Symptom,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C0012634,Disorder (Disease),Disease or Syndrome,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C0393735,Headache Disorders,Disease or Syndrome,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C0018681,HEAD PAIN (Headache),Sign or Symptom,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C2745955,Occurrence [Temporal Concept],Temporal Concept,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,sensory discomfort (Discomfort),Sign or Symptom,C0018681,Pain in head (Headache),Sign or Symptom,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,sensory discomfort (Discomfort),Sign or Symptom,C0015672,Tired (Fatigue),Sign or Symptom,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,sensory discomfort (Discomfort),Sign or Symptom,C1883708,Then [Temporal Concept],Temporal Concept,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
C2364135,sensory discomfort (Discomfort),Sign or Symptom,C1948052,Now (Now (temporal qualifier)) [Temporal Concept],Temporal Concept,"It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.Pain in various parts of the head, not confined to the area of distribution of any nerve.A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.Head pain or discomfort.Everyone feels tired now and then."
