C0332239,Young [Temporal Concept],Temporal Concept,C0580836,Old [Temporal Concept],Temporal Concept,"It occurs most commonly inadolescent girls and young women, but adolescent boys andyoung men may also be affected, as may children approachingpuberty and older women up to the menopause."
C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,C0233494,Tension,Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,C0233514,Psychiatric disorders (Abnormal behavior),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,C0085631,Restlessness (Agitation),Sign or Symptom,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,C0205322,Persistent [Temporal Concept],Temporal Concept,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,C0332190,Impending [Temporal Concept],Temporal Concept,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,C0040223,TIME (Time) [Temporal Concept],Temporal Concept,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,C0679309,physical symptoms (physical symptom),Sign or Symptom,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,C0004936,Psychiatric Disorders (Mental disorders),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,C0013404,DYSPNOEA (Dyspnea),Sign or Symptom,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,N C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0233494,Tension,Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0233514,Psychiatric disorders (Abnormal behavior),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0085631,Restlessness (Agitation),Sign or Symptom,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0205322,Persistent [Temporal Concept],Temporal Concept,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0332190,Impending [Temporal Concept],Temporal Concept,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0040223,TIME (Time) [Temporal Concept],Temporal Concept,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0679309,physical symptoms (physical symptom),Sign or Symptom,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0004936,Psychiatric Disorders (Mental disorders),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0013404,DYSPNOEA (Dyspnea),Sign or Symptom,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,N C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C0233494,Tension,Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C0233514,Psychiatric disorders (Abnormal behavior),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C0085631,Restlessness (Agitation),Sign or Symptom,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C0205322,Persistent [Temporal Concept],Temporal Concept,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C0332190,Impending [Temporal Concept],Temporal Concept,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C0040223,TIME (Time) [Temporal Concept],Temporal Concept,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C0679309,physical symptoms (physical symptom),Sign or Symptom,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C0004936,Psychiatric Disorders (Mental disorders),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C0013404,DYSPNOEA (Dyspnea),Sign or Symptom,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,N C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233494,Tension,Mental or Behavioral Dysfunction,C0233514,Psychiatric disorders (Abnormal behavior),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233494,Tension,Mental or Behavioral Dysfunction,C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233494,Tension,Mental or Behavioral Dysfunction,C0085631,Restlessness (Agitation),Sign or Symptom,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233494,Tension,Mental or Behavioral Dysfunction,C0205322,Persistent [Temporal Concept],Temporal Concept,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233494,Tension,Mental or Behavioral Dysfunction,C0332190,Impending [Temporal Concept],Temporal Concept,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233494,Tension,Mental or Behavioral Dysfunction,C0040223,TIME (Time) [Temporal Concept],Temporal Concept,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233494,Tension,Mental or Behavioral Dysfunction,C0679309,physical symptoms (physical symptom),Sign or Symptom,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233494,Tension,Mental or Behavioral Dysfunction,C0004936,Psychiatric Disorders (Mental disorders),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233494,Tension,Mental or Behavioral Dysfunction,C0013404,DYSPNOEA (Dyspnea),Sign or Symptom,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233494,Tension,Mental or Behavioral Dysfunction,N C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233514,Psychiatric disorders (Abnormal behavior),Mental or Behavioral Dysfunction,C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233514,Psychiatric disorders (Abnormal behavior),Mental or Behavioral Dysfunction,C0085631,Restlessness (Agitation),Sign or Symptom,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233514,Psychiatric disorders (Abnormal behavior),Mental or Behavioral Dysfunction,C0205322,Persistent [Temporal Concept],Temporal Concept,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233514,Psychiatric disorders (Abnormal behavior),Mental or Behavioral Dysfunction,C0332190,Impending [Temporal Concept],Temporal Concept,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233514,Psychiatric disorders (Abnormal behavior),Mental or Behavioral Dysfunction,C0040223,TIME (Time) [Temporal Concept],Temporal Concept,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233514,Psychiatric disorders (Abnormal behavior),Mental or Behavioral Dysfunction,C0679309,physical symptoms (physical symptom),Sign or Symptom,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233514,Psychiatric disorders (Abnormal behavior),Mental or Behavioral Dysfunction,C0004936,Psychiatric Disorders (Mental disorders),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233514,Psychiatric disorders (Abnormal behavior),Mental or Behavioral Dysfunction,C0013404,DYSPNOEA (Dyspnea),Sign or Symptom,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
C0233514,Psychiatric disorders (Abnormal behavior),Mental or Behavioral Dysfunction,N C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,"Extreme anxiety that happens often over time may be a sign of an anxiety disorder.Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.Persistent and disabling ANXIETY.A disorder characterized by apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.A category of psychiatric disorders which are characterized by anxious feelings or fear often accompanied by physical symptoms associated with anxiety."
